51300032327,bec,107,114
51300034611,gcg,113,38
51300069855,dga,6,166
51300102708,afd,236,49
51300103029,dbb,31,163
51300143297,fca,61,219
51300150285,fcc,124,209
51300157113,gbf,237,275
51300278324,dae,163,54
51300289414,fea,285,154
51300318584,agg,147,11
51300336613,dfa,114,200
51300346715,fad,131,185
51300348198,bec,261,129
51300353987,caf,94,187
51300374544,aag,28,215
51300379384,fcb,240,51
51300391827,afe,183,80
51300393694,gfe,92,288
51300422591,gad,15,259
51300434651,dag,205,205
51300436826,aed,190,121
51300443072,ecc,34,86
51300518815,ebb,39,124
51300525204,gdg,101,98
51300540985,edg,22,113
51300568797,fcd,59,35
51300576575,cac,181,179
51300633449,cdc,177,206
51300634502,ddc,79,186
51300639846,cdb,149,292
51300643712,bac,283,155
51300677762,bce,220,254
51300764788,eeb,61,218
51300802745,bba,216,93
51300853896,abb,189,131
51300877965,dcc,89,297
51300887479,ede,85,112
51300887845,aab,221,26
51300910803,bfg,291,140
51300919077,cbg,128,207
51300936782,ece,80,297
51300942029,bce,281,238
51300948398,bgd,28,165
51300976544,bbd,292,103
51300996978,fgc,5,82
51301033897,gce,81,109
51301066011,beb,60,158
51301067210,faa,25,215
51301073816,acg,239,281
51301100842,gba,56,170
51301110445,bca,80,119
51301112920,faf,199,259
51301141208,fbe,95,262
51301144039,aff,181,260
51301190446,dba,288,134
51301255437,bca,106,133
51301316182,def,226,175
51301330569,aed,130,101
51301345213,dea,6,248
51301409879,dgg,219,41
51301410280,bbd,294,115
51301482692,fgd,156,51
51301517480,dge,48,34
51301520220,bbc,160,277
51301524242,cca,111,253
51301526313,edc,184,212
51301588559,feg,155,208
51301609954,abf,206,24
51301650313,dcf,230,194
51301657916,dfd,254,52
51301663663,dbb,256,190
51301729849,ceb,178,126
51301734782,ged,207,294
51301778358,gbc,239,200
51301814313,dad,110,281
51301829102,ecf,277,43
51301832404,eab,32,102
51301857027,gcf,185,91
51301913042,ffb,289,81
51301914463,agf,152,103
51301972661,bde,273,290
51301989492,aea,171,130
51302041763,fgb,13,14
51302044118,def,210,176
51302070144,fga,116,239
51302070412,afb,223,230
51302072124,abd,268,148
51302084111,dcc,204,294
51302098599,cbc,26,290
51302100351,bce,107,204
51302136425,dfg,165,204
51302176861,feg,132,218
51302182300,acb,202,239
51302223401,fbc,133,246
51302228736,afb,205,209
51302244934,caa,215,175
51302307891,cac,126,180
51302317867,cfd,56,13
51302319922,dbf,155,270
51302324835,gdg,253,112
51302328106,caa,114,173
51302336711,ddb,132,58
51302348430,ffe,289,141
51302365222,acb,126,191
51302386655,baf,157,209
51302412876,eeg,171,268
51302439595,eda,166,67
51302447807,aad,90,55
51302464380,gbf,91,316
51302520956,cad,102,56
51302551336,cce,103,256
51302611893,bcc,192,286
51302628485,dfc,133,103
51302635592,bcg,176,274
51302640090,beg,183,240
51302656248,ddb,44,59
51302658988,ecd,143,47
51302743782,ffc,38,23
51302749422,cgc,148,175
51302789362,aba,200,37
51302805324,gfg,232,83
51302806206,bae,60,104
51302860746,gab,17,76
51302926479,gac,57,16
51302963924,ffg,64,193
51302972949,bfg,101,119
51302978531,gfa,156,128
51302984097,ddd,294,164
51303010796,gfd,239,285
51303018217,gae,277,126
51303069435,afa,114,290
51303117752,gbe,289,223
51303138720,ecc,211,76
51303158505,aag,201,238
51303178813,fdg,38,66
51303181326,ggg,160,265
51303204356,bad,270,53
51303246757,bgg,91,58
51303252029,cbg,159,184
51303252535,cdb,37,327
51303263210,fdc,238,57
51303267557,ecd,20,53
51303277345,bfd,7,139
51303290939,bac,218,156
51303296164,dge,18,27
51303299224,dfb,26,269
51303323055,geg,216,269
51303334189,ecf,107,36
51303335624,agf,233,82
51303346185,aca,93,215
51303360810,fdd,1,34
51303362540,ccd,32,217
51303410910,abb,296,131
51303415221,edc,86,239
51303429511,dfg,119,238
51303438374,gce,79,105
51303440591,fae,193,156
51303486622,edc,210,255
51303508347,gef,96,196
51303512585,bcb,167,40
51303534949,cbf,160,13
51303542694,cga,108,9
51303543531,cbf,88,10
51303572038,adf,190,260
51303585775,ddd,251,173
51303596868,cff,169,267
51303597715,bge,269,87
51303617006,eaf,24,117
51303618392,dag,232,215
51303636630,dda,299,121
51303663081,afg,24,298
51303721117,bfb,262,261
51303728640,cba,273,73
51303735177,ecc,264,75
51303740828,fbg,251,157
51303744046,dba,272,117
51303796571,fgg,270,126
51303811122,dfd,87,56
51303866713,dec,77,24
51303874899,ecd,66,50
51303878247,agf,137,77
51303907432,gda,283,77
51303922016,afb,163,194
51303924487,fbb,36,73
51303996103,age,138,268
51304063082,cdb,149,300
51304070323,adb,43,262
51304105350,bgg,61,52
51304106385,ebc,276,107
51304123513,bda,248,70
51304147063,geg,240,247
51304156615,agg,288,9
51304187338,dfg,41,218
51304211232,gdg,182,92
51304254508,dfa,175,178
51304278734,gad,156,290
51304298269,aed,185,119
51304310788,gea,138,282
51304365052,bef,128,130
51304370957,bbg,68,198
51304376550,gae,127,104
51304376655,gdd,110,281
51304388863,bce,232,175
51304405344,aab,30,27
51304430226,gga,286,82
51304483038,ecb,23,101
51304536544,ada,206,16
51304557519,bdf,156,58
51304563051,eca,107,15
51304586908,ddd,187,153
51304607813,egc,285,10
51304608862,dbf,94,283
51304616880,bdc,8,106
51304646619,gaa,111,250
51304658260,ebb,193,136
51304670798,bgg,29,57
51304701279,gcb,1,96
51304726709,fag,104,158
51304762662,fee,77,158
51304782020,gcg,242,43
51304859692,gff,234,249
51304912082,gff,19,206
51304933399,fda,167,143
51304935831,ggg,164,270
51304955046,efa,38,203
51304988953,acb,81,154
51305001889,ege,197,97
51305003241,cfe,162,166
51305017886,abg,97,172
51305037162,dbg,292,211
51305037691,ggg,168,232
51305075823,ffe,152,125
51305081353,fde,107,171
51305136085,agb,19,76
51305139015,acf,193,6
51305197088,cda,122,219
51305231614,dag,61,180
51305233727,cfa,62,169
51305239693,bcf,254,97
51305245607,cbd,83,231
51305255149,fbg,234,135
51305269656,acb,95,147
51305270704,aee,202,264
51305295010,aeg,108,269
51305311263,ace,81,208
51305335586,bbb,109,193
51305407528,aeb,233,84
51305414711,fed,239,215
51305416501,cba,7,58
51305426308,cdf,161,58
51305453106,feb,104,107
51305485227,ccc,35,253
51305513862,cgb,176,246
51305577017,dfe,171,72
51305603730,eed,221,6
51305637976,fbd,222,20
51305662629,egc,45,10
51305689927,gcf,4,96
51305738904,gde,137,89
51305759820,dac,238,183
51305765528,egg,34,216
51305778959,fba,33,29
51305825854,def,128,146
51305866845,eed,149,6
51305873738,bbe,221,18
51305890570,ecc,79,84
51305915919,edd,203,10
51305947089,ggc,262,163
51305978752,dgg,247,43
51305983202,ebd,166,26
51306038149,cga,290,8
51306047013,dce,28,153
51306051092,cag,15,27
51306067898,fff,265,49
51306080591,gfe,288,316
51306103874,fge,236,126
51306142781,bfa,32,68
51306154936,ece,282,311
51306155029,dgc,186,210
51306155885,bfe,33,158
51306159751,gge,156,44
51306163593,ggg,208,269
51306176720,ffa,2,217
51306192150,bae,213,118
51306197322,gaf,69,296
51306214746,cde,117,70
51306231260,aef,277,244
51306235622,eff,85,216
51306238324,fge,259,103
51306240402,daa,38,162
51306304950,efg,69,139
51306327230,cag,183,22
51306363615,dgf,103,149
51306395903,bee,50,211
51306403526,cae,105,283
51306407355,afd,16,49
51306412346,ecb,99,95
51306435219,bfa,62,69
51306440739,eac,50,48
51306445190,cba,178,51
51306451690,fef,277,105
51306480752,dad,110,266
51306489088,bae,7,118
51306526066,dab,26,94
51306536882,eca,125,17
51306541797,cfd,294,13
51306585693,ebf,146,230
51306608370,gbf,104,312
51306610085,gfg,163,86
51306610560,fcg,108,217
51306614908,dfc,224,92
51306659501,cbe,86,136
51306673301,abf,115,19
51306685432,dab,200,82
51306687155,bbd,1,113
51306694060,aee,99,303
51306696358,fbd,67,16
51306706857,gfd,189,267
51306707890,cad,38,60
51306711905,bga,22,259
51306726419,aae,17,184
51306753936,ggb,255,219
51306786700,gdg,259,88
51306813959,bag,127,50
51306855273,ddc,142,200
51306860908,fec,176,289
51306865911,bca,252,152
51306872299,acf,72,6
51306885097,ege,237,97
51306913400,bbg,28,198
51306953397,gec,188,249
51306961258,cbe,251,142
51306972742,fdb,192,72
51306976732,eec,190,145
51306982937,dca,40,184
51307012158,dgf,41,169
51307038405,caf,138,153
51307042398,dbb,171,212
51307050746,afe,30,91
51307054990,abd,107,119
51307067080,bec,12,122
51307081963,dde,249,129
51307097968,gba,63,197
51307098003,agd,76,131
51307106467,ffd,154,106
51307136252,cfb,189,191
51307179279,fag,91,161
51307198049,gdd,36,238
51307208163,age,8,286
51307209605,agc,17,221
51307213580,dbb,109,231
51307214046,fdd,51,40
51307227243,cab,54,12
51307229822,gdd,151,273
51307230480,gef,232,233
51307261194,bce,86,141
51307273354,cbd,126,226
51307307784,efe,264,132
51307346122,acg,270,261
51307353345,fea,164,170
51307355850,cbe,49,137
51307363453,eed,247,6
51307409367,ffd,210,117
51307414068,ceb,195,108
51307435528,bbd,275,91
51307439109,dbf,179,280
51307445210,bgc,227,10
51307449603,fbe,109,230
51307464744,eee,246,67
51307477256,bdf,67,68
51307502864,ccb,101,217
51307504499,ded,10,158
51307519434,bgb,81,169
51307541058,aag,9,238
51307565533,cag,131,24
51307606680,dba,166,129
51307621464,egd,142,244
51307624821,fbg,241,152
51307634029,cdf,170,62
51307654889,ced,251,50
51307664681,feg,219,239
51307680471,ade,119,283
51307681148,fce,189,161
51307683157,cbc,48,272
51307690134,bdd,149,77
51307695246,faf,109,282
51307754050,ced,60,42
51307760712,cfb,138,212
51307763899,fcc,65,183
51307784125,fgd,298,46
51307791616,cdd,117,156
51307791703,bfb,204,305
51307807147,acd,106,275
51307809347,eeg,75,276
51307824521,egc,38,8
51307864276,dbd,40,281
51307873801,fga,1,217
51307880396,acc,102,29
51307903242,baf,72,248
51307913827,cgd,53,25
51307946121,edb,250,7
51307966522,gac,95,18
51307979077,gbd,69,275
51308001064,abe,50,142
51308005618,efb,188,6
51308026743,cee,35,191
51308035308,eef,96,197
51308042852,ccf,230,238
51308044296,egf,216,86
51308072914,bdg,291,267
51308101005,bba,180,74
51308107107,eea,279,103
51308108187,ffb,127,76
51308111963,ead,104,189
51308112668,dcb,84,281
51308112991,fcd,176,35
51308113351,cde,46,70
51308120783,gfc,230,92
51308132062,eaa,108,177
51308132675,add,44,163
51308137171,cca,140,263
51308144406,afe,100,100
51308147879,dfd,289,56
51308149913,fae,227,131
51308165678,aee,84,312
51308181438,ebe,289,62
51308183145,fca,59,223
51308199605,gdb,200,297
51308201160,agg,221,8
51308206017,edf,24,183
51308206845,ggg,106,290
51308212084,deb,68,75
51308218303,eba,54,99
51308218377,bfc,39,25
51308222887,cae,13,280
51308225490,ddg,158,246
51308251476,gca,89,36
51308259436,eae,35,12
51308286769,dga,259,169
51308290410,feg,81,236
